# 데이터 출처: 환경부 무공해차 통합누리집(ev.or.kr)
시도,지역구분,차종구분,공고파일,접수방법,민간공고대수_전체,민간공고대수_우선순위,민간공고대수_법인기관,민간공고대수_택시,민간공고대수_일반,접수대수_전체,접수대수_우선순위,접수대수_법인기관,접수대수_택시,접수대수_일반,출고대수_전체,출고대수_우선순위,출고대수_법인기관,출고대수_택시,출고대수_일반,출고잔여대수_전체,출고잔여대수_우선순위,출고잔여대수_법인기관,출고잔여대수_택시,출고잔여대수_일반,비고
서울,서울특별시,전기승용,본공고 1 본공고 2 본공고 3 추경1차 1,*일반: 출고등록순 *우선: 출고등록순,12201,1600,0,840,9761,11038,3218,346,971,6503,10087,2959,313,853,5962,2114,0,0,0,3799,"**2026.6.5. 19시 기준, 상반기 서울시 전기승용차 보급 현황 알려 드립니다. (택시 940대 미포함) ㅇ 보급목표: 11,361대 ㅇ 접수대수: 10,057대 ㅇ 잔여대수: 1,304대 ----------------------------- ** 상반기 보급물량 소진시에는 당초 일정보다 조기에 마감할 계획입니다."
부산,부산광역시,전기승용,본공고 1 본공고 2 본공고 3 추경1차 1 추경1차 2,*일반: 출고등록순 *우선: 출고등록순,4726,0,0,0,4726,4667,1339,101,633,2594,4320,1239,97,602,2382,406,0,0,0,2344,"--------------------------긴급공지 ------------------------------------------------------ 26.05.29 상반기 추가 공고물량 대상자 선정 마감 되었습니다. 하반기는 7월 예정하고 있습니다. 기다려 주시면 감사드리겠습니다. 그리고 대상자 선정이 안된 건들은 모두 취소되었으며 하반기 오픈되면 다시 지원신청부터 진행하셔야 합니다. --------------------------------------------------------------------------------------------------- ㅇ 상반기 추가 보급대수 : 1,000대(승용차 600대, 화물차 400대) ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음 ㅇ 보급기간 : `26. 05. 27.(수) 11:00 ∼ 추가 보급분 예산소진시까지 ※ 예산소진 시 신청마감 및 사전공고 없이 시스템 신청 마감 될 수 있음 ※ 지역할인제 상반기 예산소진→지원불가, 부산청년EV드림→지원가능 ※ 대상자 선정 건 중 출고기한 미준수시 취소가능할 수 있음으로 주의요망 ※ 신청 접수 빠르더라도 진행중에 서류 미비나 시스템 입력사항 오기등으로 보완처리시 대상자 선정 지연될수 있으며, 이로 인한 미선정은 책임지지 않음 →신청서 등 서류 누락없이 정확히 작성 요망 ※ 접수 후 빠르게 선정 요청 전화는 삼가 부탁드립니다. 작업이 더뎌집니다. ※ 구매보조금 지원(지급)신청서 등 첨부서류 일괄 스캔하여 제출 (1개의 pdf파일로 업로드 요망) ※ 전환지원금은 26.1.1일 이후 판매 또는 폐차건부터 지급신청전까지 인정되오니 ""지급신청 이후""에 판매 또는 폐차건은 불인정됩니다 -------------------------------------------------------------------------------------------------- 26.05.28 신청 폭주 및 시스템 오류로 인해 금일부터 본격적으로 서류 심사가 진행됩니다. 원활한 검토를 위해 가급적 전화 문의는 자제 부탁드리며, 특히 순번 및 진행상태 문의 등 자체 확인 가능한 부분은 대리점 업무과를 통해 확인 부탁드립니다. ------------------------------------------------------------------------------------------------- 26.05.27 많은 관심속에 상반기 추가 물량 이상으로 신청건이 접수되어 마감함을 안내드립니다. 현재 선정 작업 진행 예정이며 보완,선정 등등의 문의는 삼가 바라며, 보완건은 바로 확인 불가합니다. 상반기 추가 공고에 선정이 안되신분들은 7월 중 하반기를 예정하고 있으므로 참고 바랍니다. ----------------------------안내사항------------------------------------------------------- ※ 승용 접수번호 4467 부터 시작입니다. 업무에 참고 바랍니다. ※ 민원전화로 업무가 지연되므로 독촉전화, 단순 문의 등 자제요청 드립니다. ------------------------------------------------------------------------------------------------------------------ ㅇ 상반기 보급대수 : 5023대(승용차 4,126, 화물차 846, 승합 38, 어린이통학차 13) ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음 ㅇ 보급기간 : `26. 1. 28.(수) ∼ ‘26. 12. 11.(금) (※ 보급기간 내 지급신청까지 완료하여야 하며, 예산소진 시 신청마감)"
대구,대구광역시,전기승용,본공고 1 본공고 2 추경1차 1,*일반: 출고등록순 *우선: 출고등록순,2125,213,0,106,1806,2183,536,52,230,1365,2090,522,51,212,1305,35,0,0,0,501,"★ 승용 2차 접수 마감되었습니다. ★ ★ 화물 2차 접수 마감되었습니다. ★ ★ 접수 후 빠른 처리를 위해 단순 문의 및 처리 독촉 전화는 자제해주시길 바랍니다. ★ *2026년 전기자동차 민간보급사업 안내 (2차)* - 보급기간 : 마감 - 보급물량 : 1,063대(승용차 910대, 화물차 150대, 승합차 3대) * 보급수량은 차종별 보조금 차등지원 및 차종별 구매수요에 따라 가감될 수 있습니다. ※ 2026년 전기차 보급대수 : 3,542대(승용차 3,035, 화물차 500, 승합차 7) 1차 : 마감, 2차 : 마감, 3차 : 7월 예정 -> 보급추이 및 여건에 따라 회차 및 시기는 조정될수 있습니다. - 신청양식 : 대구시 양식(공고문 양식 다운로드) - 기타 상세 사항은 공고문을 참고하시기 바랍니다."
인천,인천광역시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,6533,670,0,335,5528,6562,2177,103,207,4075,5428,1824,84,180,3340,1105,0,0,155,2188,"*** 전기승용차 하반기 사업 잔여대수 안내(26. 6.8. 09:00기준)*** ○ 보급대수 조정 : 일반 2,000대 -> 1,600대 (400대 감소) ※ 조정사유: 보조금 높은 차종이 많이 접수되어 1대당 지급 단가 상승으로 예산 범위 내 보급대수 감소함 ○ 잔여대수(접수기준) : 일반 0대, 택시 130대 ** 대상자선정 기준 잔여대수 : 일반 450대 ** 대상자 선정 순이므로 접수대수가 끝나더라도 대상자선정 잔여대수 소화시까지 더 접수받을 예정입니다. 접수가 늦더라도 출고가 빠르면 대상자 선정 먼저됩니다 ---------------------------------------------------------- *** 전기승용차 하반기 사업 안내*** - 접수시작: 2026. 5. 20. 09:00~ (접수번호 5310번부터 시작이니 참고 바랍니다) - 공고문을 올렸으니 참고하시기 바랍니다 * 공고문명: 2026년도 2차 전기자동차 민간보급사업 공고 - 1차 대상자 선정 이전단계(지원가능확인, 자격부여, 신청, 접수 건 등) 진행 건들은 시에서 19일까지 일괄 취소(불가) 처리 할 예정이므로 보조금 받으실려면 2차 사업(5.20)에 다시 접수하셔야 합니다. ** 전기화물차는 하반기 사업 없습니다, 추경예산을 확보해야 추가사업 가능하며, 추경예산 확보하면 8~9월에나 사업 진행 가능합니다**"
광주,광주광역시,전기승용,본공고 1 본공고 2 본공고 3,*일반: 출고등록순 *우선: 출고등록순,2246,0,0,0,2246,2381,321,55,226,1779,1919,227,42,176,1474,327,0,0,0,772,"★ 승용 2차 접수 마감됐습니다. o 2차 접수기간 - (승용) : '26.5.28.(목) 10:00 ~ 12.4.(금) 18:00 - (화물) : '26.6.1.(목) 10:00 ~ 12.4.(금) 18:00 ※ 승합은 예산(물량)소진시까지 계속 접수 받는 중(1/30(금)~12/4(금)) o 2차 보급대수 : 총 469대(승용 350대, 화물 100대, 승합 19대) * 보급대수는 보급 여건, 예산범위 내에서 변동될 수 있으며, 보급물량(예산) 초과시 여유물량(취소건 감안)을 추가로 받은 후, 사전 공지 없이 신규접수 마감 (대상자 선정은 출고순) ★ (주의사항: 신청조건) 신청일로부터 최소 2일(휴일 제외) 이후 출고 예정인 차량으로 접수해야 합니다.(어길 시 보완요청, 후순위 배정) - 순차적으로 자격부여 검토, 지원가능확인요청은 바로 가능하나, 대상자 선정은 최소 2일 이후부터 확정됨 ★ 접수 후 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 자제 부탁드립니다."
대전,대전광역시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,924,92,0,46,786,1261,381,32,91,757,1240,372,31,89,748,0,0,0,0,38,"★2026년 상반기 전기자동차 보급사업 승용,화물 마감★ ※ 하반기 전기자동차 보급사업은 7월중 예정임을 알려드립니다 *하반기 전기승용차 물량 약 395대(차종별 차등지원에 따라 변동될 수 있음) - 지원대상: 신청일 기준 30일간 연속하여 대전시에 주소를 둔 개인, 법인 등 * 대상자 선정은 자동차 출고 등록 순 * 지원신청서의 빠른 승인을 위해 독촉 전화문의는 자제 부탁드립니다. * 자세한 사항은 공고문 참고하여 주시기 바랍니다. ★ 차종별 보조금액, 전환지원금 본공고2 첨부파일 참고"
울산,울산광역시,전기승용,본공고 1 추경1차 1 추경1차 2 추경1차 3,*일반: 출고등록순 *우선: 출고등록순,2786,0,0,0,2786,2488,839,38,132,1479,2156,728,32,117,1279,630,0,0,0,1507,"★★ 반드시 10일이내 출고 확정건만 신청 ★★ ★★ 2026년 전기자동차(승용) 보급사업 2차 안내 ★★ ○ 접수기간 : ‘26. 6. 2.(화) 10:00 ~ 예산소진시 까지 ○ 공고물량 : 1,200대(승용 1,050대, 화물 150대) - 2차 접수 : 승용 접수번호 2,298번부터 / 화물 접수번호 470번부터 시작 ○ 보급차종 : 공고문 및 무공해차 통합누리집(www.ev.or.kr) 참조 ○ 지원금액 : 차종에 따라 차등지원(구매보조금 지급현황 - 지자체 차종별 보조금 - 울산시 조회) ★ 민원전화로 업무처리가 지연되므로 빠른 업무처리를 위해 독촉, 단순 문의 전화는 자제해 주시기 바랍니다. - 대상자 선정, 보조금 지급 등은 순차적으로 진행 - 서류 검토 및 대상자 선정까지는 접수일 기준 7일 이내 처리될 예정이며 당일 신청, 당일 대상자선정은 어려우므로 독촉전화 자제 요망 ★ 반드시 공고문을 확인하시기 바라며 공고문 미숙지에 따른 불이익은 울산시에서 책임지지 않습니다. ★ 누락된 서류가 없는지 필히 확인하여 주시기 바랍니다.(보완요청시 검토 순서가 후순위로 밀릴 수 있음) * 지원(지급)신청서 등 모든파일은 1개의 PDF파일로 저장하여 업로드 * (전환지원금)판매 및 폐차 관련 서류는 지급 신청 전까지 제출, 전환지원금은 ""개인""만 가능(개인사업자, 법인 불가) ※ 본공고 1 : 공고문 / 추경 1차 1 : 2차 공고문 / 추경 1차 2 : 차종별 국시비 보조금 / 추경 1차 3 : 별지서식"
세종,세종특별자치시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,1048,146,0,53,849,532,213,4,6,309,521,208,4,6,303,527,0,0,47,546,"< 2026년 2차(하반기) 전기자동차(승용) 보급사업 안내 > ○ 접수기간 : '26. 6. 10.(수) 14:00~ 예산 소진 시까지 ○ 보급물량 : 전기승용 251대 ○ 지원금액 : 차종별 차등 지원(구매보조금 지급현황-지자체 차종별 보조금 조회) ○ 지원대상 : 신청일 기준 60일 이상 세종시에 연속하여 주소를 둔 자 등 ○ 지원대상자 선정기준 : 출고·등록순 ○ 신청방법 : 무공해차 통합누리집을 통해 제작·수입사가 신청 ★ 빠른 업무처리를 위해 독촉, 단순 문의 전화는 자제해 주시기 바랍니다. ★ 전화 주신다고 먼저 처리되지 않으며, 오히려 업무 처리가 지연될 수 있습니다. - 자격부여는 신청서 접수일 기준 7일 이내에 처리될 예정입니다. - 대상자 확정(출고등록순 확정)이 물량 소진 기준이 됩니다. ※ 무공해차 통합누리집 시스템상 잔여대수와 실제 잔여대수는 상이함 ※ 보급대수는 사업예산 소진 등 보급여건에 따라 변동될 수 있음 ------------------------------------- 신청서 제출 안내 -------------------------------------- ★ 출고기한 미준수 시, 대상자 취소 또는 대기자로 변경 가능 - 자격부여일로부터 2개월 이내에 출고, 대상자 선정일로부터 10일 이내에 출고 ○ 시스템 입력 오기사항이나 누락된 서류가 없는지 반드시 확인 바랍니다. (보완 요청 시 검토 순서가 뒤로 밀릴 수 있으며, 이에 대상자 미선정 될 수 있음) ○ 추가 지원금을 지원받기 위한 증빙서류는 최초 신청 시 함께 제출해야 합니다. (대상자 선정 이후 제출 시 지급되지 않을 수 있습니다.) ○ 구매보조금 지원(지급)신청서 제출에 따른 모든 서류는 일괄 스캔하여 ""1개의 PDF 파일로 제출"" 바랍니다. ○ 모든 제출 서류는 ""30일 이내 발급서류""에 한하여 인정되며, 열람용 서류는 인정되지 않습니다."
경기,수원시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,3870,0,0,193,3677,2945,940,35,109,1861,2612,857,30,99,1626,1258,0,0,94,2051,"★ 6.5.(금) 담당자 부재 ★ (6. 4. 18:00 기준) 76% 대상자 선정 완료(잔여 약 260대, 95% 접수) - 지원가능 확인요청은 차량 '배정'된 건만 선정 / 택시 물량 마감(5. 22.)으로 일반 물량 통합 진행 ★ 상반기(2차) 전기화물 접수 마감 (2026.5.14. 14:50) - 하반기 접수는 8월 예정이며, 일정은 변동될 수 있음. (7월 말 추경) ★ 전기자동차(승용,화물) 보급사업 2차 공고문 게재(5. 7.) : 본공고1에 등록(신청서 등 관련 서식은 본공고2 확인) ※ 시스템 상 표시된 잔여대수와 실제 잔여대수는 상이합니다. (1차 : 1,931대 선정) ※ 2차 접수가 많을 것으로 예상되며, 자격부여는 접수일 기준 7일 이내 처리될 예정입니다. (당일 선정 불가) 대상자 선정 기준으로 신청 접수가 마감되어, 예산 범위 내 선정 완료 전까지는 신청 접수가 가능하나,실제 선정은 불가할 수 있음을 유의하시어 신청 바랍니다. (독촉 전화와 관계없이, 순차적으로 검토 예정) ---------------------------------------------------------------------------------------------------- [2026년 상반기(2차) 전기자동차(승용,화물) 보급사업] ○ 사 업 명 : 상반기(2차) 전기자동차(승용, 화물) 보급사업 공고 ○ 보급대수 : 총 1,578대(승용 1,400대, 화물 178대) (* 실제 대수는 차종별 보조금 차등 지원에 따라 예산범위 내에서 변동 가능) ○ 접수기간 : 2026. 5. 11.(월) 09:00 ~ 예산 소진 시까지 ○ 신청대상 : 지원신청일 이전 60일 이상 수원시에 연속하여 주소를 둔 자 ○ 신청방법 : 제조·수입사에서 무공해차 통합누리집(ev.or.kr) 사이트로 신청 ○ 선정기준 : 자동차 출고·등록순 ○ 보급차량 : 관계 법령에 의해 각종 인증을 모두 완료한 전기자동차 ○ 기타 자세한 사항은 공고문 참고 ---------------------------------------------------------------------------------------------- ※ 차종별 보조금 확인방법(사이트 상단에서 해당 탭 클릭) - ‘구매 및 지원’ - ‘무공해차 구매보조금 지원’ - ‘지자체 차종별 보조금’ 참조"
경기,성남시,전기승용,본공고 1 본공고 2 본공고 3,*일반: 출고등록순 *우선: 출고등록순,1949,0,0,0,1949,1747,550,49,60,1088,1739,548,49,60,1082,210,0,0,0,867,"★ 성남시 전기자동차(승용, 화물) 보급사업 공고 마감★ ※ 예산 조기소진에 따라 추가 공고에 대해서는 추경예산 확보 후 공고 및 접수 예정입니다. ○ 접수기간: 2026. 2. 9.(월) 10:00 ~ 2026. 12. 11.(금) 18:00 (단, 지급신청 2026. 12. 16.(수) 18:00까지) ○ 지원대수: 2,092대(승용 1,949대, 화물 143대) ○ 신청조건: 신청일 기준 성남시 거주 3개월 이상 개인, 법인 및 단체, 공공기관, 지방공기업 등 ○ 선정기준: 차량 출고등록순 ○ 지원금액 확인: 구매보조금 지급현황 - 지자체 차종별 보조금 - 성남시로 조회 ※ 본공고1:공고문 hwpx 파일, 본공고2: 공고문 pdf 파일, 본공고3: 성남시 차종별 보조금 현황 * 출고 10일 이내 차량에 한하여 신청( 지원신청시 출고증빙서류 첨부 必) * 제출서류 및 자세한 사항은 공고문 필수 확인바랍니다. --------------------------------------------- * 순차적으로 서류 검토 중에 있으며 빠른 업무처리를 위해 처리 독촉 등 전화 자제 부탁드립니다. * 차종별 금액 상이하여 잔여대수와 출고대수는 실제대수와 다름을 알려드립니다."
